"GI_18426974-S","GI_41197088-S","GI_17981706-S","GI_41190507-S","GI_33356162-S","Hs.449605-S","GI_37546026-S","Hs.512137-S","GI_37546969-S","Hs.449584-S","Hs.406489-S","GI_18641371-S","Hs.449609-S","hmm3574-S","hmm10298-S","Hs.449602-S","GI_11095446-S","Hs.512124-S","GI_37542230-S","hmm3577-S","GI_21389378-S","GI_27754767-I","GI_13514808-S","GI_13027804-S","GI_4504410-S","GI_11993934-S","GI_33356559-S","GI_37537697-S","hmm10289-S","GI_42660576-S","GI_34915989-S","GI_31377723-S","GI_28416938-S","GI_42656398-S","Hs.449572-S","GI_23065546-A","GI_42662536-S","GI_41190543-S","GI_23510363-A","GI_7661757-S","GI_27482629-S","GI_16554578-S","GI_34222299-S","GI_31652245-I","GI_27754767-A","GI_8923472-S","GI_20070269-S","GI_30795192-A","GI_31077201-S","GI_27894333-A","GI_24308084-S","GI_19743804-A","GI_28610153-S","GI_27764881-S","GI_4507820-S","GI_21464138-A","GI_14211892-S","GI_27894329-S","Hs.185140-S","GI_4505888-A","GI_34222336-S","GI_27477086-S","GI_4504436-S","GI_21614524-S","GI_24497529-I","GI_19224662-S","GI_22027487-S","GI_9961355-S","GI_21389558-S","GI_24797066-S","GI_38569448-S","GI_28557780-S","GI_20302136-S","GI_16159362-S","Hs.171273-S","Hs.136376-S","GI_4502630-S","GI_4504700-S","GI_7657043-S","GI_42476191-S","GI_37546229-S","GI_7662241-S","GI_13325059-S","GI_4505948-S","GI_41350202-S","GI_20373176-S","hmm9615-S","GI_21389548-S","hmm3587-S","GI_7019408-S","GI_37537705-I","GI_31341400-S","GI_18641372-S","GI_30409981-S","GI_5454143-S","GI_40354211-S","GI_18379361-A","GI_20143949-A","GI_4507426-S","GI_14602456-I"
14.217386,6.0679,6.112384,6.35956,6.077128,6.235026,6.495667,6.614708,6.002133,15.385354,6.518171,9.452326,6.340986,6.599867,6.277623,15.465953,6.116529,7.66606,11.93309,12.664687,6.715358,6.142264,6.002929,6.449327,11.008185,11.861785,6.051431,6.101434,6.033571,11.133182,6.573969,10.33107,6.647075,6.262386,6.038021,8.730239,10.680801,6.286885,10.323044,7.90343,9.625078,6.367575,6.232637,10.718266,6.816593,9.043663,6.838115,10.8939,7.173871,10.971897,8.183257,11.679224,7.820372,7.379566,9.615468,6.636347,5.907242,9.239151,10.270641,6.451152,8.328979,12.206635,8.312894,5.967512,9.209433,8.236927,6.262417,8.659825,10.372786,12.802083,6.588299,10.362205,7.286697,10.435591,7.117648,8.238493,6.224428,7.381016,10.894175,9.113407,8.003986,8.516512,12.417009,9.378154,7.643696,10.340309,6.607248,6.048586,6.142014,8.72361,8.572791,6.025538,10.650607,8.210023,9.522827,9.848712,6.228171,7.287604,6.531866,6.751506
6.045551,6.204508,13.011187,8.572267,12.405055,8.998613,15.878857,9.556195,8.186877,6.155449,8.749026,6.054201,6.37526,9.870416,6.281537,15.268148,10.466807,6.611145,6.931394,10.74547,6.640868,6.142978,9.169234,6.084432,8.933767,10.878089,9.80676,6.275033,5.994174,12.178901,8.786541,6.069688,7.258281,10.660984,5.892678,10.650452,12.39562,6.191921,7.336168,6.389131,10.454333,9.088634,6.327694,9.147815,7.233127,8.206693,7.389991,7.35226,8.34242,8.426763,6.424604,9.899477,8.209664,10.915709,8.931372,6.498436,8.596395,9.704446,8.781431,7.094791,9.301214,8.549541,12.560423,5.846592,7.71416,6.756567,6.196549,6.786395,9.53296,13.59983,6.617922,9.14436,5.991826,9.35,7.853225,8.017228,6.709736,6.807193,9.630456,6.435561,7.480815,10.65486,11.678223,9.111609,6.130718,13.131133,7.494765,6.094879,7.05165,8.783152,8.628778,10.486811,12.134475,6.288697,6.472885,8.35292,6.526821,10.512019,7.908867,6.525898
6.340567,6.451339,13.08127,6.486416,12.442465,14.07987,10.274196,8.559765,12.692369,6.364313,13.667397,6.126122,6.371988,13.654273,6.267339,14.150072,10.636595,8.649914,6.878124,9.180318,6.095078,6.885856,9.691269,7.371567,9.749358,10.410237,9.376034,6.481491,6.066404,8.25893,8.244064,7.447466,6.471603,8.881737,6.050346,6.363275,11.926321,6.197679,9.654852,9.21775,7.362364,8.034115,7.000298,9.224722,7.265076,8.11017,11.541104,8.914293,9.454389,10.35185,10.560182,10.56722,12.504921,8.779352,9.520104,6.922206,8.13917,10.06454,9.205168,7.355334,7.937497,10.796929,11.759544,6.017991,9.530968,10.790772,7.048737,6.616977,10.53765,13.328575,9.353859,10.090459,7.215271,10.36117,6.299735,8.678803,7.707781,11.711598,10.029091,9.407614,8.308221,8.443134,13.373794,9.272923,6.899104,13.000572,8.052012,7.733864,6.335639,9.385829,9.327698,8.762428,12.689859,7.82641,9.727653,8.669844,8.524,9.381383,7.805227,6.633137
6.1133,6.389877,13.360477,15.772347,12.256289,13.304084,6.976274,12.388112,6.259136,6.161601,14.397371,6.045013,6.330585,14.489313,6.295682,9.112474,10.796708,10.153779,6.049451,10.253542,6.212369,9.18608,9.848503,9.548334,9.714124,11.524231,10.199684,7.199312,6.038301,11.684013,6.857114,11.166733,6.572627,6.275375,5.958535,8.947312,11.641274,6.195456,7.411884,9.454041,6.760575,7.173589,7.647583,9.904603,8.405899,8.777203,8.095882,10.368165,7.982739,9.180363,9.934667,9.579746,8.470346,8.500027,9.446183,6.787108,9.004705,5.955992,11.55005,6.559314,9.422443,11.192633,8.508227,8.077724,9.493507,7.51125,8.933853,9.567716,8.211047,11.307703,8.154228,7.627324,8.7878,10.197867,7.769253,5.884539,8.316728,8.35801,8.136511,12.006668,10.158762,7.101746,11.818449,8.873637,7.882231,13.176546,8.695023,6.093883,6.113494,9.990576,10.154575,6.786497,12.278483,10.178358,10.654253,10.854112,6.73802,10.018635,9.63399,8.116134
13.830023,6.052565,6.102478,11.916794,6.006354,9.694568,14.61969,15.10625,10.64304,10.609795,15.025161,12.298217,10.911179,14.453883,12.366247,13.529457,6.113972,11.984752,10.514878,9.806055,8.079201,8.260113,6.050607,6.872978,10.037436,9.853503,6.053077,9.297223,9.346395,12.390965,9.788898,6.258016,8.863421,7.94639,5.992064,9.273321,12.715626,7.086193,8.02454,9.791387,9.682922,8.928526,8.259142,7.578196,7.99107,9.313564,7.032463,10.057619,10.527335,7.981261,6.467115,6.905711,9.861925,7.828294,9.708509,7.596337,5.778,7.562999,9.850235,6.495761,7.699838,9.105048,12.49505,6.327879,9.327932,6.951202,8.053883,8.523736,6.995802,12.326703,6.900355,9.681735,8.561113,8.235112,8.662411,7.56577,8.056547,8.233972,8.024185,8.630324,10.015082,9.437461,10.855934,8.645195,7.333776,10.766414,10.067599,8.184557,7.339119,9.398706,6.704856,9.241983,9.872943,7.494946,6.797961,9.157461,7.474101,7.723132,9.114611,7.838307
6.296204,13.910456,5.992261,11.943072,6.072196,7.015711,10.401141,8.430153,6.444004,6.048816,12.360866,12.82856,6.325901,14.252676,6.258263,7.875596,6.136637,10.114414,6.244739,7.270778,6.220278,6.681703,6.149593,6.448442,8.397811,12.291355,6.088241,7.029058,6.039342,8.031635,9.992067,9.010151,9.742337,6.718003,5.939967,6.262009,12.412144,6.247441,12.555376,10.672171,11.140415,7.150524,7.179354,10.115077,7.033406,10.490303,6.716313,11.919758,6.461353,10.532137,9.491945,11.644139,6.983909,9.597924,8.392226,7.007652,5.811388,6.542503,9.736456,6.137161,5.996429,11.744588,12.436449,5.915521,11.832736,10.489688,6.739915,8.897417,8.648624,13.358043,6.799522,10.83635,9.442783,10.639858,6.356955,9.958592,8.655022,8.5035,11.746903,8.522385,10.680299,10.189792,10.458104,6.406581,7.287958,10.661166,6.660767,7.881586,9.288706,7.740208,9.946342,8.77553,13.580592,7.619963,9.426115,9.158745,6.077063,10.972987,8.564225,6.736361
13.380031,6.328773,6.104569,14.350429,6.179147,13.285349,9.906019,14.279428,12.609195,10.453509,13.755285,9.067377,10.356785,13.91722,11.010938,12.812856,6.06983,12.214866,9.67705,11.803896,8.69307,10.71545,6.037001,8.053827,10.396887,11.898752,6.047747,12.468418,6.168786,11.891216,11.547117,6.901437,9.031761,6.996853,6.076917,9.15676,11.167312,7.33997,9.778564,8.794464,8.891741,10.007766,9.4041,10.109612,9.778585,8.583423,8.451104,10.232714,8.130346,8.962706,8.94382,9.295721,10.726653,8.299536,9.089854,9.358355,5.625385,7.752814,11.827413,7.319676,9.839458,10.957087,10.515657,7.610288,7.716504,8.1023,9.835505,10.216981,7.580482,13.372169,10.321991,9.256212,8.034623,8.360838,8.8672,7.690084,8.905258,9.27001,9.470516,10.346391,9.846641,7.460879,11.35971,8.728534,9.07296,10.976112,8.844657,8.451287,6.231515,9.611721,8.776842,8.373299,11.065521,9.100987,9.892482,11.195436,7.273095,10.08689,7.569687,11.37861
6.251453,13.911742,13.151392,8.699349,12.014725,7.30084,8.606952,10.203562,7.326533,6.325902,7.848965,12.943598,8.321951,8.579075,8.245536,14.79687,10.625571,6.669124,8.655409,12.401553,10.653445,6.353039,9.865877,7.711169,9.471133,7.978736,8.487603,6.161057,6.104947,8.112244,7.280049,8.866176,7.495236,9.744754,13.123456,6.43136,11.168062,6.822392,11.481619,7.415093,9.207404,9.147568,6.545413,8.944598,6.803558,9.197861,8.880529,10.185463,7.423874,10.677481,6.443554,10.543371,11.116773,9.378292,8.876269,6.529085,7.105864,9.497463,8.943339,6.770912,6.415485,11.321589,11.360911,6.002367,7.252527,10.794819,6.731918,6.726145,9.460264,12.834305,8.129513,9.438083,6.280417,10.399863,6.370686,9.18441,7.180374,7.73387,11.443059,8.050619,8.587183,8.996193,13.02273,6.842879,6.632775,12.913795,6.531142,6.187889,8.543751,9.456523,8.229896,8.863503,13.635195,8.365555,7.486803,8.417146,7.08148,8.437893,7.361497,8.921197
6.222991,6.424211,12.996275,6.284698,11.864031,7.975785,12.087064,6.821832,7.004462,14.701995,13.971064,6.046756,7.248679,13.927521,6.238734,14.750312,11.693095,6.676667,6.548209,6.635615,6.936973,6.816017,10.156035,7.431744,10.040985,8.029214,9.542537,6.043575,6.085149,11.976181,8.072045,8.996888,11.665314,9.630028,6.084273,9.416493,12.240178,6.241945,11.407234,10.678063,10.646271,6.82854,6.333509,10.011111,8.337826,6.221123,9.162801,8.825472,12.452544,9.754695,9.268618,9.592029,8.435405,8.569798,9.090822,6.577631,8.249462,7.075468,9.458982,6.802149,6.553704,8.479905,9.789695,6.265893,7.395254,6.931386,6.613655,7.559893,8.324844,12.351615,7.609277,10.158742,9.026678,9.59899,6.2709,7.866749,7.09,7.471527,6.770195,11.412511,7.402557,11.495347,11.851356,6.883335,9.308457,12.840949,8.022967,7.894852,9.129567,11.473352,9.557217,8.155678,12.215692,6.260469,8.479498,8.817436,6.82397,9.236609,8.243564,6.719518
6.159045,14.035229,6.216888,13.76478,6.021881,10.439064,9.375938,13.381669,8.825393,7.167346,13.572058,13.121807,7.265621,13.103863,6.218479,14.761082,6.247251,8.445459,7.056533,12.607836,9.34373,8.888245,6.042168,9.476336,8.737509,11.07502,6.110957,7.806428,6.119768,8.318485,9.743024,7.790802,9.951736,6.274974,5.94407,6.265096,11.242104,7.529053,9.605375,6.819614,9.208996,7.823785,9.469975,8.017502,8.598218,9.013732,10.455708,9.527355,6.75922,9.17274,8.969199,10.228697,11.560067,7.98534,8.687195,7.883387,5.716746,9.491699,11.039296,10.200959,8.298679,8.730174,10.827724,8.669677,8.171124,6.954467,9.640539,8.253299,9.292886,12.502192,9.844462,8.987856,6.343855,8.337313,8.37696,7.397827,9.865768,6.703526,8.521752,10.533781,9.801083,7.635832,12.56053,10.042224,8.599062,10.369014,9.115183,6.968743,9.479478,8.979771,8.070863,7.369307,12.887729,6.471684,10.505954,10.296298,8.25764,7.922565,7.156047,8.751496
